"Name","Team","Pos","Injury / Surgery Date","Injury / Surgery","Status","IL Retro Date","Eligible to Return","Return Date","Latest Update"
"Jordan Romano","TOR","RP","03/10/24","Elbow inflammation","Activated","03/25/24","04/09/24","04/16/24","Activated"
"Lucas Giolito","BOS","SP","03/12/24","Elbow surgery (internal brace)","Activated","03/28/24","05/27/24","09/30/24","Activated"
"Carmen Mlodzinski","PIT","RP","03/13/24","Elbow inflammation","Activated","03/25/24","04/09/24","04/10/24","Activated"
"Bryan Woo","SEA","SP","03/23/24","Elbow inflammation","Activated","03/25/24","04/09/24","05/10/24","Activated"
"Anthony DeSclafani","MIN","SP","03/29/24","Elbow/Flexor tendon surgery","Activated","03/25/24","05/24/24","09/30/24","Activated"
"Jonathan Loáisiga","NYY","RP","Apr' '24","Elbow surgery (internal brace)","Activated","04/04/24","06/03/24","09/30/24","Activated"
"Framber Valdez","HOU","SP","04/02/24","Elbow inflammation","Activated","04/06/24","04/21/24","04/27/24","Activated"
"Nick Pivetta","BOS","SP","04/03/24","Strained elbow flexor","Activated","04/06/24","04/21/24","05/08/24","Activated"
"Chase Silseth","LAA","SP","04/07/24","Elbow inflammation","Activated","04/08/24","06/07/24","06/25/24","Activated"
"Spencer Strider","ATL","SP","04/12/24","Elbow surgery (internal brace)","Activated","04/06/24","06/05/24","09/30/24","Activated"
"Tejay Antone","CIN","RP","04/12/24","Elbow surgery (UCL/flexor tendon repair)","Activated","04/08/24","06/07/24","09/30/24","Activated"
"Huascar Ynoa","ATL","SP","04/14/24","Stress reaction in elbow","Activated","06/16/24","08/15/24","09/30/24","Activated"
"Kyle Freeland","COL","SP","04/14/24","Strained elbow","Activated","04/16/24","06/15/24","06/23/24","Activated"
"Ryne Nelson","ARI","SP","04/18/24","Elbow contusion","Activated","04/19/24","05/04/24","05/05/24","Activated"
"Jesús Luzardo","MIA","SP","04/20/24","Elbow tightness","Activated","04/23/24","05/08/24","05/11/24","Activated"
"Sawyer Gipson-Long","DET","SP","04/22/24","Elbow surgery (internal brace)","Activated","03/25/24","05/24/24","09/30/24","Activated"
"Josh Simpson","MIA","RP","04/23/24","Elbow surgery (ulnar neuritis)","Activated","03/25/24","05/24/24","09/03/24","Activated"
"Alec Marsh","KCR","SP","04/24/24","Elbow contusion","Activated","04/25/24","05/10/24","05/10/24","Activated"
"Pierce Johnson","ATL","RP","04/29/24","Elbow inflammation","Activated","05/01/24","05/16/24","05/18/24","Activated"
"Joe Musgrove","SDP","SP","05/01/24","Elbow inflammation","Activated","05/02/24","05/17/24","05/21/24","Activated"
"Tyler Matzek","SFG","RP","05/04/24","Elbow inflammation","Activated","05/05/24","07/04/24","08/30/24","Activated"
"Daniel Duarte","MIN","RP","05/08/24","Elbow surgery (UCL revision)","Activated","04/04/24","06/03/24","09/30/24","Activated"
"Jake Bird","COL","RP","05/17/24","Elbow inflammation","Activated","05/18/24","06/02/24","06/17/24","Activated"
"Nick Robertson","STL","RP","05/19/24","Elbow inflammation","Activated","05/23/24","06/07/24","06/24/24","Activated"
"Dominic Leone","CHW","RP","05/20/24","Elbow inflammation","Activated","05/21/24","07/20/24","08/05/24","Activated"
"Ross Stripling","OAK","SP","05/24/24","Strained elbow","Activated","05/25/24","06/09/24","07/25/24","Activated"
"Joe Musgrove","SDP","SP","05/26/24","Elbow inflammation","Activated","05/29/24","07/28/24","08/12/24","Activated"
"Eli Morgan","CLE","RP","05/29/24","Elbow inflammation","Activated","05/30/24","06/14/24","06/29/24","Activated"
"Garrett Whitlock","BOS","SP","05/30/24","Elbow surgery (internal brace)","Activated","04/17/24","06/16/24","09/30/24","Activated"
"Blake Walston","ARI","SP","06/04/24","Elbow inflammation","Activated","06/05/24","06/20/24","08/12/24","Activated"
"Hurston Waldrep","ATL","SP","06/16/24","Elbow inflammation","Activated","06/17/24","07/02/24","07/29/24","Activated"
"Yimi García","TOR","RP","06/16/24","Elbow ulnar neuritis","Activated","06/17/24","07/02/24","07/19/24","Activated"
"Tyler Wells","BAL","SP","06/17/24","Elbow surgery (internal brace)","Activated","04/13/24","06/12/24","09/30/24","Activated"
"Alek Manoah","TOR","SP","06/17/24","Elbow surgery (internal brace)","Activated","05/30/24","07/29/24","09/30/24","Activated"
"Brendan White","DET","RP","06/18/24","Strained elbow","Activated","08/13/24","10/12/24","09/30/24","Activated"
"Danny Coulombe","BAL","RP","06/19/24","Elbow surgery (bone chip removal)","Activated","06/09/24","08/08/24","09/20/24","Activated"
"Oliver Ortega","HOU","RP","06/26/24","Elbow surgery (loose body removal)","Activated","03/25/24","05/24/24","09/30/24","Activated"
"Patrick Sandoval","LAA","SP","06/26/24","Elbow surgery (UCL)","Activated","06/22/24","08/21/24","09/30/24","Activated"
"Tom Cosgrove","SDP","RP","06/26/24","Elbow inflammation","Activated","06/27/24","07/12/24","07/25/24","Activated"
"Chris Martin","BOS","RP","07/03/24","Elbow inflammation","Activated","07/04/24","07/19/24","08/07/24","Activated"
"Jordan Romano","TOR","RP","07/03/24","Arthroscopic elbow surgery","Activated","05/30/24","07/29/24","09/30/24","Activated"
"Daulton Jefferies","PIT","RP","07/05/24","Elbow inflammation","Activated","07/06/24","09/04/24","09/30/24","Activated"
"Justin Slaten","BOS","RP","07/07/24","Elbow inflammation","Activated","07/09/24","07/24/24","08/26/24","Activated"
"Graham Ashcraft","CIN","SP","07/07/24","Strained elbow","Activated","07/08/24","09/06/24","09/30/24","Activated"
"Reed Garrett","NYM","RP","07/09/24","Elbow inflammation","Activated","07/10/24","07/25/24","08/10/24","Activated"
"Max Fried","ATL","SP","07/11/24","Elbow neuritis","Activated","07/18/24","08/02/24","08/04/24","Activated"
"Isaiah Campbell","BOS","RP","07/13/24","Elbow inflammation","Activated","09/07/24","11/06/24","09/30/24","Activated"
"Andrew Wantz","LAA","RP","07/13/24","Elbow surgery","Activated","07/01/24","08/30/24","09/30/24","Activated"
"Germán Márquez","COL","SP","07/14/24","Elbow inflammation","Activated","07/19/24","09/17/24","09/30/24","Activated"
"Rob Zastryzny","MIL","RP","07/24/24","Elbow tendinitis","Activated","07/25/24","09/23/24","09/30/24","Activated"
"Keaton Winn","SFG","SP","07/29/24","Elbow surgery (ulnar nerve transpositon)","Activated","06/21/24","08/20/24","09/30/24","Activated"
"Bryce Jarvis","ARI","RP","07/30/24","Sprained elbow","Activated","07/31/24","09/29/24","09/30/24","Activated"
"Jacob Webb","BAL","RP","08/02/24","Elbow inflammation","Activated","08/04/24","08/19/24","09/15/24","Activated"
"Luis Medina","OAK","SP","08/07/24","Sprained elbow","Activated","07/12/24","09/10/24","09/30/24","Activated"
